ID,Priority,pH,Salinity,Notes,OM,Carbonate,Colour,Land_use,Texture,Photo,Day,Text_desc,Coarse_siz,Coarse_per,Coarse_rou,Text_silt,Text_sand,Text_clay,Lat,Long,Sum,Struct,Perm_rock,k_factor,OM_muns,Density,TARGET_FID
104,0,0,0,,2,0,2.5Y3/2,Fallow field (pasture),Dark loam,3791,3,CL,13,5,1,35,32,33,42.649948335099999,25.282995,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,103
103,2,0,0,,9,9,,,Loam,3597,2,L,5,5,1,41,41,18,42.651281668400003,25.3944983333,100,3,2,3.7019999999999997e-002,3,1.4199999999999999,102
106,0,0,0,0,1,0,10YR3/3,Tilled field,Sandy heavy clay,3775,3,CL,0,0,1,35,32,33,42.651795001799996,25.306885000000001,100,4,4,2.4e-002,4,1.3200000000000001,105
107,0,0,0,,2,0,2.5Y3/2,Fallow field (previously sunflower),,3429/8,1,SL,3,5,1,25,65,10,42.653303684800001,25.380639843400001,100,3,2,3.1460000000000002e-002,0.80000000000000004,1.5600000000000001,106
108,0,0,0,,2,1,2.5Y4/2,Fallow field (planted with rye grass),Heavy loam,3777,3,L,3,5,1,41,41,18,42.6547416684,25.290675,100,3,2,0.11539000000000001,7.5,1.4199999999999999,107
112,2,0,0,,9,9,,,Medium clay,3722,3,C,0,0,1,20,20,60,42.655235001800001,25.350178333300001,100,4,5,2.7890000000000002e-002,7,1.21,111
110,2,0,0,,9,9,,,Light clay,3598,2,SCL,5,7.5,1,15,60,25,42.655991668399999,25.397213333300002,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,109
115,0,0,0,,2,2,10YR2/2,Fallow field,Very stony loam (10-20cm),L1864,9,SiC,10,10,1,43,8,49,42.656064999999998,25.25197,100,4,5,7.6630000000000004e-002,7,1.21,114
114,0,0,0,,1,1,10YR3/3,Horse paddock,Light clay loam,3778,3,CL,15,20,1,35,32,33,42.656526668399998,25.2835916666,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,113
119,0,0,0,S,2,2,2.5Y3/3,Field with weeds,Light clay loam,V0556,8,SC,5,5,2,8,51,41,42.657743333299997,25.2327883333,100,2,4,3.3400000000000001e-003,1.2,1.3200000000000001,118
118,0,0,0,,2,0,5Y2.5/2,Harvested field (wheat),Light clay,L1889,10,L,5,5,1,41,41,18,42.658809029799997,25.319464615299999,100,3,2,3.7019999999999997e-002,3,1.4199999999999999,117
113,0,0,0,,2,0,5Y2.5/2,Fallow field (sown with beans),Stony loam,V0527,8,SL,25,65,1,25,65,10,42.658855000000003,25.194736666699999,100,3,4,2.0820000000000002e-002,3,1.5600000000000001,112
117,0,0,0,High quartz,2,1,10YR3/2,Sown pasture,Medium-heavy clay,3720,3,C,10,5,1,20,20,60,42.658876668399998,25.340509999999998,100,4,5,2.7890000000000002e-002,7,1.21,116
116,0,0,0,SE,2,0,7.5YR2.5/2,Walnut orchard,,3434,1,SCL,10,5,1,15,60,25,42.658936472699999,25.370391797,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,115
120,0,0,0,,2,0,10YR4/3,Orchard (walnut),Medium clay,L1880,10,SC,15,10,1,8,51,41,42.660209942000002,25.3248137611,100,2,4,2.47e-003,4,1.3200000000000001,119
123,0,0,0,Adjacent to residential area,2,1,10YR2/2,Cleared roadside,Light loam,3780,3,CL,0,0,1,35,32,33,42.661843335100002,25.271650000000001,100,4,4,8.5599999999999996e-002,7,1.3200000000000001,122
125,2,0,0,,9,9,,,Stony loam,V0547,8,SCL,8,20,1,15,60,25,42.662043333299998,25.216674999999999,100,2,3,3.6630000000000003e-002,7,1.4099999999999999,124
122,0,0,0,,1,0,2.5Y3/3,Harvested field (wheat),Gravelly loam,3790,3,SL,10,20,1,25,65,10,42.662255001799998,25.297856666600001,100,3,2,7.7009999999999995e-002,7.5,1.5600000000000001,121
121,0,0,0,S,2,2,2.5Y3/2,Harvested wheat field,Coarse sandy loam,3602,2,SCL,5,15,1,15,60,25,42.662316668400003,25.401720000000001,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,120
128,0,0,0,,2,2,2.5Y3/2,Roadside (weeds),Loam,V0546,8,SCL,10,15,1,15,60,25,42.664626666700002,25.214086666699998,100,2,3,1.142e-002,2.25,1.4099999999999999,127
129,0,0,0,0,1,0,7.5YR3/4,Grazed pasture,Loam,V0532,8,L,10,10,1,41,41,18,42.664870000000001,25.209488333300001,100,3,2,0.15021999999999999,6,1.4199999999999999,128
126,0,0,0,0,2,0,7.5YR2.5/3,Empty field,Light clay loam,V0557,8,SC,10,5,1,8,51,41,42.665023333299999,25.236954999999998,100,2,4,2.47e-003,4,1.3200000000000001,125
131,2,0,0,,9,9,,,Light clay,3789,3,SiL,5,5,1,68,20,12,42.666450001800001,25.2731166666,100,3,3,0.14201,9,1.4399999999999999,130
127,0,0,0,0,2,0,10YR3/3,"Grazed pasture, orchard",Medium clay loam,3442,1,SC,10,5,1,8,51,41,42.6666759314,25.360859647400002,100,2,4,2.47e-003,4,1.3200000000000001,126
136,0,0,0,NW,1,0,2.5Y3/2,Sown field,Stony loam,L1863,9,CL,15,10,1,35,32,33,42.668778333299997,25.260648333300001,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,135
132,0,0,0,,2,1,10YR2/1,Fallow field (previously grain),Medium clay loam,3445,1,SCL,0,0,1,15,60,25,42.668866026300002,25.356114327099998,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,131
135,0,0,0,,2,0,10YR4/3,"Pasture (weeds, grasses)",Medium clay (stony),L1814,9,SC,4,5,1,8,51,41,42.669003333299997,25.299325,100,2,4,2.47e-003,4,1.3200000000000001,134
133,0,0,0,,2,0,10YR3/2,Rotary hoed field (grain),Light clay,3469,1,SC,0,0,1,8,51,41,42.669269382499998,25.319734676100001,100,2,4,2.47e-003,4,1.3200000000000001,132
134,0,0,0,Field burnt,2,1,2.5Y3/2,Burnt chaff and regrowth (wheat),"Light clay loam, some pebbles",3459,1,L,5,7.5,1,41,41,18,42.669576382499997,25.3384252448,100,3,2,4.3409999999999997e-002,0.80000000000000004,1.4199999999999999,133
139,0,0,0,,1,0,10YR3/2,"Roadside, pasture",Gravelly loam,3467,1,SiL,0,0,1,68,20,12,42.670850616999999,25.326430576900002,100,3,3,6.2199999999999998e-002,2.25,1.4399999999999999,138
138,1,0,0,,9,9,,,Gravelly sandy loam,3603,2,SL,15,30,1,25,65,10,42.671601668400001,25.396966666600001,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,137
