"Single women";"Region Syddanmark";143036;145768
"Single women";"Assens";4286;4365
"Single women";"Faaborg-Midtfyn";5454;5540
"Single women";"Kerteminde";2750;2820
"Single women";"Langeland";1739;1759
"Single women";"Middelfart";4095;4125
"Single women";"Nordfyns";2854;2908
"Single women";"Nyborg";3874;3941
"Single women";"Odense";27691;28697
"Single women";"Svendborg";7373;7543
"Single women";"Ærø";926;935
"Single women";"Billund";2716;2743
"Single women";"Esbjerg";14113;14322
"Single women";"Fanø";475;481
"Single women";"Fredericia";6303;6407
"Single women";"Haderslev";6427;6471
"Single women";"Kolding";10465;10736
"Single women";"Sønderborg";9101;9154
"Single women";"Tønder";4175;4205
"Single women";"Varde";4810;4876
"Single women";"Vejen";4028;4081
"Single women";"Vejle";12570;12839
"Single women";"Aabenraa";6811;6820
"Single women";"Region Midtjylland";146013;149494
"Single women";"Favrskov";3975;4076
"Single women";"Hedensted";3997;4037
"Single women";"Horsens";10032;10379
"Single women";"Norddjurs";4459;4447
"Single women";"Odder";2432;2499
"Single women";"Randers";12222;12482
"Single women";"Samsø";561;561
"Single women";"Silkeborg";9872;10116
"Single women";"Skanderborg";5265;5362
"Single women";"Syddjurs";4313;4393
"Single women";"Aarhus";43438;45075
"Single women";"Herning";9446;9659
"Single women";"Holstebro";6522;6613
"Single women";"Ikast-Brande";3947;3981
"Single women";"Lemvig";2003;1988
"Single women";"Ringkøbing-Skjern";5492;5520
"Single women";"Skive";5118;5169
"Single women";"Struer";2349;2394
"Single women";"Viborg";10570;10743
"Single women";"Region Nordjylland";68620;70089
"Single women";"Brønderslev";3609;3658
"Single women";"Frederikshavn";7353;7414
"Single women";"Hjørring";7551;7735
"Single women";"Jammerbugt";3797;3878
"Single women";"Læsø";276;277
"Single women";"Mariagerfjord";4493;4491
"Single women";"Morsø";2390;2400
"Single women";"Rebild";2449;2517
"Single women";"Thisted";4668;4710
"Single women";"Vesthimmerlands";4030;4064
"Single women";"Aalborg";28004;28945
"Married couple";"Region Hovedstaden";256324;257623
"Married couple";"Copenhagen";58382;59014
"Married couple";"Frederiksberg";12227;12198
"Married couple";"Dragør";2907;2910
"Married couple";"Tårnby";7007;6982
"Married couple";"Albertslund";3929;3885
"Married couple";"Ballerup";7969;8018
"Married couple";"Brøndby";5121;5162
"Married couple";"Gentofte";11883;11921
"Married couple";"Gladsaxe";10535;10601
